state_id,fips,population
AL,00001,4903185
AL,01001,55869
AL,01003,223234
AL,01005,24686
AL,01007,22394
AL,01009,57826
AL,01011,10101
AL,01013,19448
AL,01015,113605
AL,01017,33254
AL,01019,26196
AL,01021,44428
AL,01023,12589
AL,01025,23622
AL,01027,13235
AL,01029,14910
AL,01031,52342
AL,01033,55241
AL,01035,12067
AL,01037,10663
AL,01039,37049
AL,01041,13772
AL,01043,83768
AL,01045,49172
AL,01047,37196
AL,01049,71513
AL,01051,81209
AL,01053,36633
AL,01055,102268
AL,01057,16302
AL,01059,31362
AL,01061,26271
AL,01063,8111
AL,01065,14651
AL,01067,17205
AL,01069,105882
AL,01071,51626
AL,01073,658573
AL,01075,13805
AL,01077,92729
AL,01079,32924
AL,01081,164542
AL,01083,98915
AL,01085,9726
AL,01087,18068
AL,01089,372909
AL,01091,18863
AL,01093,29709
AL,01095,96774
AL,01097,413210
AL,01099,20733
AL,01101,226486
AL,01103,119679
AL,01105,8923
AL,01107,19930
AL,01109,33114
AL,01111,22722
AL,01113,57961
AL,01115,89512
AL,01117,217702
AL,01119,12427
AL,01121,79978
AL,01123,40367
AL,01125,209355
AL,01127,63521
AL,01129,16326
AL,01131,10373
AL,01133,23629
AK,00002,731545
AK,02013,3337
AK,02016,5634
AK,02020,288000
AK,02050,18386
AK,02060,836
AK,02063,7372
AK,02066,1929
AK,02068,2097
AK,02070,4916
AK,02090,96849
AK,02100,2530
AK,02105,2148
AK,02110,31974
AK,02122,58708
AK,02130,13901
AK,02150,12998
AK,02158,8314
AK,02164,1592
AK,02170,108317
AK,02180,10004
AK,02185,9832
AK,02188,7621
AK,02195,3266
AK,02198,6203
AK,02220,8493
AK,02230,1183
AK,02240,6893
AK,02275,2502
AK,02282,579
AK,02290,5230
AZ,00004,7278717
AZ,04001,71887
AZ,04003,125922
AZ,04005,143476
AZ,04007,54018
AZ,04009,38837
AZ,04011,9498
AZ,04012,21108
AZ,04013,4485414
AZ,04015,212181
AZ,04017,110924
AZ,04019,1047279
AZ,04021,462789
AZ,04023,46498
AZ,04025,235099
AZ,04027,213787
AR,00005,3017804
AR,05001,17486
AR,05003,19657
AR,05005,41932
AR,05007,279141
AR,05009,37432
AR,05011,10763
AR,05013,5189
AR,05015,28380
AR,05017,10118
AR,05019,22320
AR,05021,14551
AR,05023,24919
AR,05025,7956
AR,05027,23457
AR,05029,20846
AR,05031,110332
AR,05033,63257
AR,05035,47955
AR,05037,16419
AR,05039,7009
AR,05041,11361
AR,05043,18219
AR,05045,126007
AR,05047,17715
AR,05049,12477
AR,05051,99386
AR,05053,18265
AR,05055,45325
AR,05057,21532
AR,05059,33771
AR,05061,13202
AR,05063,37825
AR,05065,13629
AR,05067,16719
AR,05069,66824
AR,05071,26578
AR,05073,6624
AR,05075,16406
AR,05077,8857
AR,05079,13024
AR,05081,12259
AR,05083,21466
AR,05085,73309
AR,05087,16576
AR,05089,16694
AR,05091,43257
AR,05093,40651
AR,05095,6701
AR,05097,8986
AR,05099,8252
AR,05101,7753
AR,05103,23382
AR,05105,10455
AR,05107,17782
AR,05109,10718
AR,05111,23528
AR,05113,19964
AR,05115,64072
AR,05117,8062
AR,05119,391911
AR,05121,17958
AR,05123,24994
AR,05125,122437
AR,05127,10281
AR,05129,7881
AR,05131,127827
AR,05133,17007
AR,05135,17442
AR,05137,12506
AR,05139,38682
AR,05141,16545
AR,05143,239187
AR,05145,78753
AR,05147,6320
AR,05149,21341
CA,00006,39512223
CA,06001,1671329
CA,06003,1129
CA,06005,39752
CA,06007,219186
CA,06009,45905
CA,06011,21547
CA,06013,1153526
CA,06015,27812
CA,06017,192843
CA,06019,999101
CA,06021,28393
CA,06023,135558
CA,06025,181215
CA,06027,18039
CA,06029,900202
CA,06031,152940
CA,06033,64386
CA,06035,30573
CA,06037,10039107
CA,06039,157327
CA,06041,258826
CA,06043,17203
CA,06045,86749
CA,06047,277680
CA,06049,8841
CA,06051,14444
CA,06053,434061
CA,06055,137744
CA,06057,99755
CA,06059,3175692
CA,06061,398329
CA,06063,18807
CA,06065,2470546
CA,06067,1552058
CA,06069,62808
CA,06071,2180085
CA,06073,3338330
CA,06075,881549
CA,06077,762148
CA,06079,283111
CA,06081,766573
CA,06083,446499
CA,06085,1927852
CA,06087,273213
CA,06089,180080
CA,06091,3005
CA,06093,43539
CA,06095,447643
CA,06097,494336
CA,06099,550660
CA,06101,96971
CA,06103,65084
CA,06105,12285
CA,06107,466195
CA,06109,54478
CA,06111,846006
CA,06113,220500
CA,06115,78668
CO,00008,5758736
CO,08001,517421
CO,08003,16233
CO,08005,656590
CO,08007,14029
CO,08009,3581
CO,08011,5577
CO,08013,326196
CO,08014,70465
CO,08015,20356
CO,08017,1831
CO,08019,9700
CO,08021,8205
CO,08023,3887
CO,08025,6061
CO,08027,5068
CO,08029,31162
CO,08031,727211
CO,08033,2055
CO,08035,351154
CO,08037,55127
CO,08039,26729
CO,08041,720403
CO,08043,47839
CO,08045,60061
CO,08047,6243
CO,08049,15734
CO,08051,17462
CO,08053,820
CO,08055,6897
CO,08057,1392
CO,08059,582881
CO,08061,1406
CO,08063,7097
CO,08065,8127
CO,08067,56221
CO,08069,356899
CO,08071,14506
CO,08073,5701
CO,08075,22409
CO,08077,154210
CO,08079,769
CO,08081,13283
CO,08083,26183
CO,08085,42758
CO,08087,29068
CO,08089,18278
CO,08091,4952
CO,08093,18845
CO,08095,4265
CO,08097,17767
CO,08099,12172
CO,08101,168424
CO,08103,6324
CO,08105,11267
CO,08107,25638
CO,08109,6824
CO,08111,728
CO,08113,8179
CO,08115,2248
CO,08117,31011
CO,08119,25388
CO,08121,4908
CO,08123,324492
CO,08125,10019
CT,00009,3565287
CT,09001,943332
CT,09003,891720
CT,09005,180333
CT,09007,162436
CT,09009,854757
CT,09011,265206
CT,09013,150721
CT,09015,116782
DE,00010,973764
DE,10001,180786
DE,10003,558753
DE,10005,234225
DC,00011,705749
DC,11001,705749
FL,00012,21477737
FL,12001,269043
FL,12003,29210
FL,12005,174705
FL,12007,28201
FL,12009,601942
FL,12011,1952778
FL,12013,14105
FL,12015,188910
FL,12017,149657
FL,12019,219252
FL,12021,384902
FL,12023,71686
FL,12027,38001
FL,12029,16826
FL,12031,957755
FL,12033,318316
FL,12035,115081
FL,12037,12125
FL,12039,45660
FL,12041,18582
FL,12043,13811
FL,12045,13639
FL,12047,14428
FL,12049,26937
FL,12051,42022
FL,12053,193920
FL,12055,106221
FL,12057,1471968
FL,12059,19617
FL,12061,159923
FL,12063,46414
FL,12065,14246
FL,12067,8422
FL,12069,367118
FL,12071,770577
FL,12073,293582
FL,12075,41503
FL,12077,8354
FL,12079,18493
FL,12081,403253
FL,12083,365579
FL,12085,161000
FL,12086,2716940
FL,12087,74228
FL,12089,88625
FL,12091,210738
FL,12093,42168
FL,12095,1393452
FL,12097,375751
FL,12099,1496770
FL,12101,553947
FL,12103,974996
FL,12105,724777
FL,12107,74521
FL,12109,264672
FL,12111,328297
FL,12113,184313
FL,12115,433742
FL,12117,471826
FL,12119,132420
FL,12121,44417
FL,12123,21569
FL,12125,15237
FL,12127,553284
FL,12129,33739
FL,12131,74071
FL,12133,25473
GA,00013,10617423
GA,13001,18386
GA,13003,8165
GA,13005,11164
GA,13007,3038
GA,13009,44890
GA,13011,19234
GA,13013,83240
GA,13015,107738
GA,13017,16700
GA,13019,19397
GA,13021,153159
GA,13023,12873
GA,13025,19109
GA,13027,15457
GA,13029,39627
GA,13031,79608
GA,13033,22383
GA,13035,24936
GA,13037,6189
GA,13039,54666
GA,13043,10803
GA,13045,119992
GA,13047,67580
GA,13049,13392
GA,13051,289430
GA,13053,10907
GA,13055,24789
GA,13057,258773
GA,13059,128331
GA,13061,2834
GA,13063,292256
GA,13065,6618
GA,13067,760141
GA,13069,43273
GA,13071,45600
GA,13073,156714
GA,13075,17270
GA,13077,148509
GA,13079,12404
GA,13081,22372
GA,13083,16116
GA,13085,26108
GA,13087,26404
GA,13089,759297
GA,13091,20605
GA,13093,13390
GA,13095,87956
GA,13097,146343
GA,13099,10190
GA,13101,4006
GA,13103,64296
GA,13105,19194
GA,13107,22646
GA,13109,10654
GA,13111,26188
GA,13113,114421
GA,13115,98498
GA,13117,244252
GA,13119,23349
GA,13121,1063937
GA,13123,31369
GA,13125,2971
GA,13127,85292
GA,13129,57963
GA,13131,24633
GA,13133,18324
GA,13135,936250
GA,13137,45328
GA,13139,204441
GA,13141,8457
GA,13143,29792
GA,13145,35236
GA,13147,26205
GA,13149,11923
GA,13151,234561
GA,13153,157863
GA,13155,9416
GA,13157,72977
GA,13159,14219
GA,13161,15115
GA,13163,15362
GA,13165,8676
GA,13167,9643
GA,13169,28735
GA,13171,19077
GA,13173,10423
GA,13175,47546
